free_space_ratio,service_size_ratio,cached_in_L1,cached_in_L2,cached_in_L3,service_charm,service_request_frequency,es_request_frequency,es_cache_miss_rate,least_freq_index,is_ugent,action
0.8898359375,0.0560390625,False,True,False,2.8,0.001,0.001,1.0,1,False,PRESERVE
0.8338359375,0.054125,False,True,False,2.5,0,0.001,1.0,0,False,PRESERVE
0.8338359375,0.056,False,True,False,3.22,0,0.001,1.0,1,False,PRESERVE
0.8338359375,0.0560390625,False,True,False,2.8,0.001,0.001,1.0,2,False,PRESERVE
0.770671875,0.054125,False,True,False,2.5,0,0.001,1.0,0,False,PRESERVE
0.770671875,0.056,False,True,False,3.22,0,0.001,1.0,1,False,PRESERVE
0.770671875,0.0631640625,False,True,False,3.59159830869705,0,0.001,1.0,2,False,PRESERVE
0.770671875,0.0560390625,False,True,False,2.8,0.001,0.001,1.0,3,False,PRESERVE
0.9262557142857143,0.013618571428571428,False,False,True,2.39,0,500.0,0.2,0,False,PRESERVE
0.9262557142857143,0.015078571428571429,False,False,True,2.57,0,500.0,0.2,1,False,PRESERVE
0.9262557142857143,0.011672857142857143,False,False,True,2.49,0,500.0,0.2,2,False,PRESERVE
0.9262557142857143,0.013,False,False,True,2.51,0,500.0,0.2,3,False,PRESERVE
0.9262557142857143,0.01344,False,False,True,2.39,0,500.0,0.2,4,False,PRESERVE
0.9262557142857143,0.006934285714285714,False,False,True,2.54,0,500.0,0.2,5,False,PRESERVE
0.9154671428571428,0.013618571428571428,False,False,True,2.39,0,500.0,0.2,0,False,PRESERVE
0.9154671428571428,0.015078571428571429,False,False,True,2.57,0,500.0,0.2,1,False,PRESERVE
0.9154671428571428,0.011672857142857143,False,False,True,2.49,0,500.0,0.2,2,False,PRESERVE
0.9154671428571428,0.013,False,False,True,2.51,0,500.0,0.2,3,False,PRESERVE
0.9154671428571428,0.01344,False,False,True,2.39,0,500.0,0.2,4,False,PRESERVE
0.9154671428571428,0.006934285714285714,False,False,True,2.54,0,500.0,0.2,5,False,PRESERVE
