free_space_ratio,service_size_ratio,cached_in_L1,cached_in_L2,cached_in_L3,service_charm,service_request_frequency,es_request_frequency,es_cache_miss_rate,least_freq_index,is_ugent,action
0.65403125,0.08,FALSE,TRUE,FALSE,2.55,0,0.001,1,1,FALSE,PRESERVE
0.65403125,0.066484375,FALSE,TRUE,FALSE,3.27,0,0.001,1,2,FALSE,PRESERVE
0.65403125,0.057875,FALSE,TRUE,FALSE,2.6,0.001,0.001,1,3,FALSE,PRESERVE
0.65403125,0.089054688,FALSE,TRUE,FALSE,2.57,0.001,0.001,1,4,FALSE,PRESERVE
0.584039063,0.052554688,FALSE,TRUE,FALSE,2.35,0,0.001,1,0,FALSE,PRESERVE
0.584039063,0.08,FALSE,TRUE,FALSE,2.55,0,0.001,1,1,FALSE,PRESERVE
0.584039063,0.066484375,FALSE,TRUE,FALSE,3.27,0,0.001,1,2,FALSE,PRESERVE
0.584039063,0.069992188,FALSE,TRUE,FALSE,2.29,0,0.001,1,3,FALSE,PRESERVE
0.584039063,0.057875,FALSE,TRUE,FALSE,2.6,0.001,0.001,1,4,FALSE,PRESERVE
0.584039063,0.089054688,FALSE,TRUE,FALSE,2.57,0.001,0.001,1,5,FALSE,PRESERVE
0.506890625,0.052554688,FALSE,TRUE,FALSE,2.35,0,0.001,1,0,FALSE,PRESERVE
0.506890625,0.08,FALSE,TRUE,FALSE,2.55,0,0.001,1,1,FALSE,PRESERVE
0.506890625,0.066484375,FALSE,TRUE,FALSE,3.27,0,0.001,1,2,FALSE,PRESERVE
0.506890625,0.069992188,FALSE,TRUE,FALSE,2.29,0,0.001,1,3,FALSE,PRESERVE
0.506890625,0.077148438,FALSE,TRUE,FALSE,2.98,0,0.001,1,4,FALSE,PRESERVE
0.506890625,0.057875,FALSE,TRUE,FALSE,2.6,0.001,0.001,1,5,FALSE,PRESERVE
0.506890625,0.089054688,FALSE,TRUE,FALSE,2.57,0.001,0.001,1,6,FALSE,PRESERVE
0.446195313,0.052554688,FALSE,TRUE,FALSE,2.35,0,0.001,1,0,FALSE,PRESERVE
0.446195313,0.08,FALSE,TRUE,FALSE,2.55,0,0.001,1,1,FALSE,PRESERVE
0.446195313,0.066484375,FALSE,TRUE,FALSE,3.27,0,0.001,1,2,FALSE,PRESERVE
0.446195313,0.069992188,FALSE,TRUE,FALSE,2.29,0,0.001,1,3,FALSE,PRESERVE
