es_load,free_storage_size_ratio_L1,free_storage_size_ratio_L2,can_L1_fit,can_L2_fit,service_size,estimated_fetch_time,is_popular,charm,service_request_frequency,nearby_servers_count,cached_in_nearby_servers,es_request_frequency,action
0.045,0.00053125,0.54404296875,False,True,5.954,0.1866159071399246,False,10.26229460918082,0.0,0,False,1250.0,L2
0.055,0.00053125,0.52078515625,False,True,2.406,0.3778432706113504,False,11.438129180413448,0.0,0,False,1666.6666666666667,L2
0.055,0.00053125,0.51138671875,False,True,7.061,0.1287481814319372,False,10.584301273994694,0.0,0,False,1111.111111111111,L2
0.05,0.00053125,0.4838046875,False,True,2.797,0.3575259206292456,False,12.92189075181372,0.0,0,False,1000.0,L2
0.05,0.00053125,0.47287890625,False,True,5.256,0.1902587519025875,False,11.333077583816694,0.0,0,False,1250.0,L2
0.055,0.00053125,0.45234765625,False,True,2.178,0.4173971116119876,False,10.127746323868864,0.0,0,False,1111.111111111111,L2
0.055,0.00053125,0.44383984375,False,True,4.183,0.2173298850324908,False,10.971913058600734,0.0,0,False,1111.111111111111,L2
0.05,0.00053125,0.4275,False,True,6.184,0.1617076326002587,False,10.868519990585504,0.0,0,False,1666.6666666666667,L2
0.035,0.00053125,0.40334375,False,True,7.215,0.198000198000198,False,10.144715233876775,0.0,0,False,1111.111111111111,L2
0.05,0.00053125,0.37516015625,False,True,4.667,0.2142704092564817,False,11.01088372319142,0.0,0,False,1111.111111111111,L2
0.055,0.00053125,0.3569296875,False,True,6.855,0.1326172004508984,False,10.023094422758067,0.0,0,False,833.3333333333334,L2
0.045,0.00053125,0.33015234375,False,True,6.002,0.1851234773593987,False,10.806656828043463,0.0,0,False,1111.111111111111,L2
0.055,0.00053125,0.30670703125,False,True,4.257,0.2135520105921797,False,11.428427219581607,0.0,0,False,1666.6666666666667,L2
0.05,0.00053125,0.290078125,False,True,4.492,0.2226179875333927,False,11.988269471158937,0.0,0,False,1666.6666666666667,L2
0.05,0.00053125,0.27253125,False,True,5.663,0.176584849019954,False,11.10893875995559,0.0,0,False,1111.111111111111,L2
0.055,0.00053125,0.25041015625,False,True,5.036,0.1805184489854863,False,11.012214702634276,0.0,0,False,1250.0,L2
0.045,0.00053125,0.23073828125,False,True,9.499,0.1169713771040226,False,15.38350657814954,0.0,0,False,1000.0,L2
0.05,0.00053125,0.1936328125,False,True,5.145,0.1943634596695821,False,10.292095528262369,0.0,0,False,1428.571428571429,L2
0.055,0.00053125,0.17353515625,False,True,6.377,0.1425577715369153,False,16.53227986895151,0.0,0,False,1428.571428571429,L2
0.055,0.00053125,0.148625,False,True,7.053,0.1288942165165049,False,11.016731896298417,0.0,0,False,1428.571428571429,L2
0.045,0.00053125,0.12107421875,False,True,2.99,0.3716090672612411,False,10.07223266931266,0.0,0,False,1250.0,L2
0.05,0.00053125,0.10939453125,False,True,8.302,0.1204529029149602,False,11.192932175687591,0.0,0,False,1250.0,L2
0.045,0.00053125,0.07696484375,False,True,4.479,0.2480712460618689,False,13.92785789601784,0.0,0,False,1000.0,L2
0.05,0.00053125,0.05946875,False,True,5.15,0.1941747572815534,False,10.188706482801198,0.0,0,False,1000.0,L2
0.055,0.00053125,0.0393515625,False,True,5.622,0.161702402897707,False,10.139293122826606,0.0,0,False,1111.111111111111,L2
0.055,0.00053125,0.017390625,False,True,2.391,0.3802136800882096,False,11.729884314107244,0.0,0,False,1111.111111111111,L2
0.055,1.0,1.0,True,True,2.624,0.3464523281596452,False,2.61,0.0,0,False,0.001,L1
0.055,0.918,1.0,True,True,6.87,0.1323276432446738,False,2.62,0.0,0,False,0.001,L1
0.055,0.7033125,1.0,True,True,4.046,0.2246888060036849,False,2.73,0.0,0,False,0.001,L1
0.055,0.576875,1.0,True,True,7.816,0.1163115287987345,False,3.58,0.001,0,False,0.001,L1
0.055,0.332625,1.0,True,True,5.826,0.1560403208188996,False,2.62,0.0,0,False,0.001,L1
