es_load,free_storage_size_ratio_L1,free_storage_size_ratio_L2,free_storage_size_ratio_L3,can_L1_fit,can_L2_fit,can_L3_fit,service_size,estimated_fetch_time,is_popular,charm,service_request_frequency,nearby_servers_count,cached_in_nearby_servers,es_request_frequency,action
0.10869565217391304,0.2355,0.7741015625,1.0,False,True,True,10.938,0.026437575704683684,False,3.04,0,1,False,0.001,L2
0.030303030303030304,0.4890625,0.274,1.0,False,False,True,14.695,0.033064357071110884,False,2.6,0,2,False,0.001,L3
0.10326086956521739,0.2355,0.731375,1.0,False,True,True,10.99,0.02769735195228487,False,2.54,0.001,1,False,0.001,L2
0.09782608695652174,0.2355,0.6884453125,1.0,False,True,True,11.15,0.028816562337601413,False,2.14,0,1,False,0.001,L2
0.09239130434782608,0.2355,0.644890625,1.0,False,True,True,11.797,0.0288382592840483,False,2.74,0,1,False,0.001,L2
0.08695652173913043,0.2355,0.59880859375,1.0,False,True,True,10.535,0.03431112993092432,False,2.59,0,1,False,0.001,L2
0.08152173913043478,0.2355,0.55765625,1.0,False,True,True,9.302,0.04144975317965028,False,2.98,0,1,False,0.001,L2
0.08333333333333333,0.61775,0.5272890625,1.0,False,True,True,12.518,0.045334784959555584,False,3.98,272.7272727272727,2,False,1250.0,L2
0.05844155844155844,0.0106875,0.76241796875,1.0,False,True,True,12.518,0.049460322556703164,False,3.98,571.4285714285714,0,False,818.1818181818182,L2
0.07608695652173914,0.2355,0.5213203125,1.0,False,True,True,12.518,0.03300095896855159,False,3.98,2500.0,1,True,588.2352941176471,L2
0.059782608695652176,0.2355,0.472421875,1.0,False,True,True,12.518,0.042001220505429294,False,3.98,2000.0,1,True,588.2352941176471,L2
0.059782608695652176,0.2355,0.472421875,1.0,False,True,True,7.555,0.06959249216240422,False,3.81,294.11764705882354,1,False,588.2352941176471,L2
0.025,0.491,0.77475,1.0,False,True,True,12.518,0.20425160269126172,False,3.98,3333.3333333333335,2,True,294.11764705882354,L2
0.01818181818181818,0.4890625,0.274,0.985305,False,False,True,12.518,0.06469094199818587,False,3.98,3333.3333333333335,2,True,312.5,L3
0.07608695652173914,0.2355,0.44291015625,1.0,False,True,True,12.518,0.03300095896855159,False,3.98,2500.0,1,True,476.19047619047615,L2
0.0106951871657754,1.0,0.62534375,1.0,False,True,True,12.518,0.24436562136502987,False,3.98,1666.6666666666667,0,False,90.9090909090909,L2
0.08695652173913043,0.2355,0.44291015625,1.0,False,True,True,9.383,0.0385236868615888,False,9.078469895939737,0,1,False,1250.0,L2
0.0106951871657754,1.0,0.23415625,1.0,True,False,True,7.618,0.401544873752618,False,6.415914334806409,3000.0,0,False,59.701492537313435,L1
0.01818181818181818,0.4890625,0.274,0.972787,True,True,True,7.618,0.10630102545724478,False,6.415914334806409,1666.6666666666667,2,False,117.6470588235294,L1
0.08854166666666667,0.61775,0.478390625,1.0,False,True,True,7.618,0.0701126852036158,False,6.415914334806409,2000.0,2,True,666.6666666666666,L2
0.06770833333333333,0.61775,0.4486328125,1.0,False,True,True,7.618,0.09168581911242067,False,6.415914334806409,2000.0,2,True,666.6666666666666,L2
0.06770833333333333,0.61775,0.4486328125,1.0,False,True,True,7.618,0.09168581911242067,False,6.415914334806409,2000.0,2,True,666.6666666666666,L2
0.078125,0.61775,0.4486328125,1.0,False,True,True,7.618,0.07946104323076458,False,6.415914334806409,3333.3333333333335,2,True,1000.0,L2
0.08695652173913043,0.2355,0.4062578125,1.0,False,True,True,7.618,0.04744916694963083,False,6.415914334806409,3333.3333333333335,1,False,1428.5714285714287,L2
0.031446540880503145,0.484625,0.319203125,1.0,True,True,True,7.618,0.16363331944062826,False,6.415914334806409,3333.3333333333335,1,True,169.4915254237288,L1
0.031446540880503145,0.0085,0.319203125,1.0,False,True,True,7.618,0.16363331944062826,False,6.415914334806409,3333.3333333333335,1,True,169.4915254237288,L2
0.08152173913043478,0.2355,0.3765,1.0,False,True,True,7.618,0.0506124447462729,False,6.415914334806409,3333.3333333333335,1,True,1428.5714285714287,L2
0.05194805194805195,0.0106875,0.71351953125,1.0,False,True,True,7.618,0.0914331002212407,False,6.415914334806409,2500.0,0,False,270.27027027027026,L2
0.05844155844155844,0.0106875,0.68376171875,1.0,False,True,True,9.383,0.06598575271925933,False,9.078469895939737,5000.0,0,False,526.3157894736842,L2
0.05194805194805195,0.0106875,0.647109375,1.0,False,True,True,9.383,0.07423397180916674,False,9.078469895939737,5000.0,0,False,526.3157894736842,L2
0.05844155844155844,0.0106875,0.647109375,1.0,False,True,True,9.383,0.06598575271925933,False,9.078469895939737,3333.3333333333335,0,False,526.3157894736842,L2
0.05194805194805195,0.0106875,0.647109375,1.0,False,True,True,9.383,0.07423397180916674,False,9.078469895939737,3333.3333333333335,0,False,526.3157894736842,L2
0.07291666666666667,0.61775,0.4486328125,1.0,False,True,True,9.383,0.06912207038549556,False,9.078469895939737,3333.3333333333335,2,False,1111.111111111111,L2
0.06770833333333333,0.61775,0.41198046875,1.0,False,True,True,9.383,0.07443915272284138,False,9.078469895939737,3333.3333333333335,2,False,1111.111111111111,L2
0.04242424242424243,0.0129375,0.274,0.972787,False,False,True,9.383,0.03698792094821748,False,9.078469895939737,2500.0,2,True,526.3157894736842,L3
0.016666666666666666,0.491,0.676953125,1.0,False,True,True,9.383,0.4087426562649282,False,9.078469895939737,3333.3333333333335,2,True,131.57894736842104,L2
0.04242424242424243,0.0129375,0.274,0.963404,False,False,True,9.383,0.03698792094821748,False,9.078469895939737,5000.0,2,True,555.5555555555555,L3
